,Russian,English
229,Греческий салат с оливками,Greek salad with olives
230,Салат с авокадо и креветками,Avocado and shrimp salad
231,Салат с козьим сыром и свёклой,Goat cheese and beetroot salad
232,Салат с рукколой и пармезаном,Arugula and parmesan salad
233,Салат с тунцом и яйцом,Tuna and egg salad
234,Салат с яблоком и сельдереем,Apple and celery salad
235,Салат с кукурузой и фасолью,Corn and bean salad
236,Салат с киноа и овощами,Quinoa and vegetable salad
237,Салат с орехами и мёдом,Nut and honey salad
238,Пельмени с олениной со сметаной, Venison dumplings with sour cream
239,Блины с красной икрой,Pancakes with red caviar
240,Окрошка на квасе,Okroshka with kvass
241,Холодец с хреном,Meat jelly with horseradish
242,Солянка с копчёностями,Solyanka soup with smoked meats
243,Манты с бараниной,Manti with lamb
244,Чак-чак с медом,Chak-chak with honey
245,Плов с бараниной,Piдaf with lamb
246,Галушки с грибами,Dumplings with mushrooms
247,Шашлык из свинины,Skewerd pork
248,Сырная тарелка с орехами,Cheese board with nuts
249,Домашний творог с мёдом,Homemade cottage cheese with honey
250,Камамбер с фруктовым соусом,Camembert with fruit sauce
251,Козий сыр с оливками,Goat cheese with olives
252,Таледжо с красным вином,Taleggio with red wine
253,Сырный фондю,Cheese fondue
254,Мягкий сыр с ягодным джемом,Soft cheese with berry jam
255,Овечий сыр с травами,Sheep milk cheese with herbs
256,Пармезан с бальзамическим соусом,Parmesan chese with balsamic glaze
257,Голубой сыр с грецкими орехами,Blue cheese with walnuts
258,Тофу с овощами и соевым соусом,Tofu with vegetables and soy sauce
259,Веганский бургер с авокадо,Vegan burger with avocado
260,Салат с киноа и тофу,Quinoa and tofu salad
261,Овощной суп с нутом,Vegetable soup with chickpeas
262,Фалафель с тахини,Falafel with tahini
263,Веганские котлеты из чечевицы,Lentil vegan patties
264,Картофель с травами и оливковым маслом,Potatoes with herbs and olive oil
265,Овощное карри с рисом,Vegetable curry with rice
266,Веганский шоколадный торт,Vegan chocolate cake
267,Фруктовый салат с мёдом,Fruit salad with honey
268,Маргарита с солью,Margarita with salt
269,Сибирские пельмени с грибами,Siberian dumplings with mushrooms
270,Запечённый филей из кабана,Roasted wild boar fillet
271,Дикий кабан с ягодным соусом,Wild boar with berry sauce
272,Рыбный пирог с икрой,Fish pie with caviar
273,Утиная грудка с клюквой,Duck breast with cranberries
274,Запечённый козлёнок с травами,Roasted goat with herbs
275,Фаршированный перепел с молодым картофелем и артишоками,Stuffed quail with baby potatoes and artichokes
276,Десерт из морошки,Cloudberry dessert
277,Чай из таёжных трав,Taiga herbal tea
278,Настойка на кедровых орехах,Pine nut tincture
279,Лимонад из облепихи,Sea buckthorn lemonade
280,Сибирский морс из клюквы,Siberian cranberry drink
281,"Коктейль ""Тайга""",Taiga cocktail
282,Настойка на шишках,Pine cone tincture
283,Настойка на бруснике,Lingonberry tincture
284,Лимонад из мяты и липы,Mint and linden lemonade
285,"Торт ""Тайга"" с лесными ягодами",Taiga cake with wild berries
286,Пирог с кедровыми орехами,Pine nut pie
287,Десерт из брусники и сливок,Lingonberry and cream dessert
288,Мороженое из облепихи,Sea buckthorn ice cream
289,Чизкейк с клюквой,Cranberry cheesecake
290,Пирог с малиной и белым шоколадом,Raspberry and white chocolate pie
291,Десерт из черники и кешью,Blueberry and cashew dessert
292,"Торт ""Лесной орех""",Hazelnut cake
293,Мусс из морошки и мёда,Cloudberry and honey mousse
294,Пирог с клубникой и миндалём,Strawberry and almond pie
295,Карась в лимонном маринаде с розмарином и чесночным маслом,Crucian carp in lemon marinade with rosemary and garlic oil
296,Фаршированные перцы с говядиной и рисом под томатным соусом,Stuffed bell peppers with beef and rice in tomato sauce
297,Тыквенный суп-пюре с кокосовым молоком и имбирем,Pumpkin cream soup with coconut milk and ginger
298,Запеченный картофель с трюфельным маслом и пармезаном,Baked potatoes with truffle oil and parmesan
299,"Салат из авокадо, креветок и грейпфрута с цитрусовым дрессингом","Avocado, shrimp and grapefruit salad with citrus dressing"
300,Паста с морепродуктами в сливочно-чесночном соусе,Pasta with seafood in creamy garlic sauce
301,Утка в апельсиновом соусе с фри из батата,Duck in orange sauce served with sweet potato fries
302,Сырный суп с брокколи и хрустящими гренками,Cheesy broccoli soup with crispy croutons
303,Куриные котлеты с грибным соусом и гречневой кашей,Chicken cutlets with mushroom sauce and buckwheat porridge
304,Стейк из лосося с овощами гриль и соусом песто,Salmon steak with grilled vegetables and pesto sauce
305,Рулетики из баклажанов с сыром и томатами,Eggplant rolls stuffed with cheese and tomatoes
306,Суп из морепродуктов с шафраном и базиликом,Seafood soup with saffron and basil
307,Фокачча с оливками и розмарином,Focaccia with olives and rosemary
308,Каре ягненка с мятным соусом и запеченными овощами,Lamb rack with mint sauce and roasted vegetables
309,"Салат с тунцом, яйцом и стручковой фасолью","Salad with tuna, egg and green beans"
310,Ризотто с грибами и трюфельным маслом,Mushroom risotto with truffle oil
311,Пирог с яблоками и корицей,Apple pie with cinnamon
312,Брускетта с томатами и базиликом,Bruschetta with tomatoes and basil
313,Карпаччо из говядины с рукколой и пармезаном,Beef carpaccio with arugula and parmesan
314,Суп с фрикадельками и лапшой,Meatball soup with noodles
315,Греческий салат с оливками и фетой,Greek salad with olives and feta
316,Лазанья с мясным фаршем и бешамель,Lasagna with minced meat and béchamel sauce
317,Тартар из тунца с авокадо и кунжутом,Tuna tartare with avocado and sesame
318,Суп с чечевицей и копченым беконом,Lentil soup with smoked bacon
319,"Гусь, запеченный с яблоками и медом",Roasted goose with apples and honey
320,"Салат с курицей, ананасом и орехами кешью",Chicken salad with pineapple and cashews
321,Картофельное пюре с зеленью и сливочным маслом,Mashed potatoes with herbs and butter
322,Стейк из говядины с красным вином и грибами,Beef steak with red wine and mushrooms
323,"Салат с креветками, авокадо и манго",Shrimp salad with avocado and mango
324,Паста карбонара с беконом и пармезаном,Carbonara pasta with bacon and parmesan
325,Суп с курицей и лапшой,Chicken noodle soup
326,Жареные кабачки с чесноком и зеленью,Fried zucchini with garlic and herbs
327,Курица в сливочном соусе с грибами,Chicken in creamy mushroom sauce
328,"Салат с беконом, яйцом и салатными листьями","Salad with bacon, egg and lettuce"
329,Томатный суп с базиликом и сливками,Tomato soup with basil and cream
330,Жареный рис с овощами и курицей,Fried rice with vegetables and chicken
331,Стейк из тунца с соусом терияки,Tuna steak with teriyaki sauce
332,Сырный фондю с хлебом и овощами,Cheese fondue with bread and vegetables
333,"Салат с говядиной, рукколой и томатами",Beef salad with arugula and tomatoes
334,Пирог с сыром и зеленью,Cheese and herb pie
335,Запеченная рыба с лимоном и травами,Baked fish with lemon and herbs
336,Крем-суп из брокколи с хрустящими гренками,Broccoli cream soup with crispy croutons
337,Паста с лососем и сливочным соусом,Pasta with salmon and creamy sauce
338,"Салат с курицей, виноградом и орехами",Chicken salad with grapes and nuts
339,Картофельные драники с сметаной,Potato pancakes with sour cream
340,Суп с фасолью и копченой колбасой,Bean soup with smoked sausage
341,Стейк из свинины с яблочным соусом,Pork steak with apple sauce
342,"Салат с креветками, авокадо и рукколой",Shrimp salad with avocado and arugula
343,Паста с грибами и сливочным соусом,Pasta with mushrooms and creamy sauce
344,Суп с курицей и рисом,Chicken and rice soup
345,Жареные баклажаны с чесноком и зеленью,Fried eggplant with garlic and herbs
346,Курица в медовом соусе с кунжутом,Chicken in honey sauce with sesame
347,"Салат с тунцом, кукурузой и яйцом","Salad with tuna, corn and egg"
348,Томатный суп с базиликом и чесночными гренками,Tomato soup with basil and garlic croutons
349,Жареный рис с креветками и овощами,Fried rice with shrimp and vegetables
350,Стейк из лосося с соусом песто,Salmon steak with pesto sauce
351,Сырный фондю с хлебом и яблоками,Cheese fondue with bread and apples
352,"Салат с курицей, огурцами и томатами",Chicken salad with cucumbers and tomatoes
353,Пирог с грибами и сыром,Mushroom and cheese pie
354,Запеченная рыба с травами и лимоном,Baked fish with herbs and lemon
355,Крем-суп из тыквы с хрустящими гренками,Pumpkin cream soup with crispy croutons
356,Паста с креветками и сливочным соусом,Pasta with shrimp and creamy sauce
357,"Салат с курицей, яблоками и орехами",Chicken salad with apples and nuts
358,Картофельные драники с грибами,Potato pancakes with mushrooms
359,Суп с горохом и копчеными ребрышками,Pea soup with smoked ribs
360,Стейк из индейки с клюквенным соусом,Turkey steak with cranberry sauce
361,"Салат с креветками, авокадо и томатами",Shrimp salad with avocado and tomatoes
362,Паста с брокколи и сливочным соусом,Pasta with broccoli and creamy sauce
363,Суп с курицей и вермишелью,Chicken noodle soup
364,Жареные кабачки с чесноком и травами,Fried zucchini with garlic and herbs
365,Курица в томатном соусе с базиликом,Chicken in tomato basil sauce
366,"Салат с говядиной, томатами и огурцами",Beef salad with tomatoes and cucumbers
367,Томатный суп с гренками и базиликом,Tomato soup with croutons and basil
368,Жареный рис с курицей и овощами,Fried rice with chicken and vegetables
369,Стейк из тунца с соусом из лайма,Tuna steak with lime sauce
370,Сырный фондю с хлебом и виноградом,Cheese fondue with bread and grapes
371,"Салат с курицей, огурцами и яйцом",Chicken salad with cucumbers and egg
372,Пирог с рыбой и сыром,Fish and cheese pie
373,Запеченная рыба с лимоном и укропом,Baked fish with lemon and dill
374,Крем-суп из шпината с хрустящими гренками,Spinach cream soup with crispy croutons
375,Паста с лососем и томатным соусом,Pasta with salmon and tomato sauce
376,"Салат с курицей, ананасом и орехами",Chicken salad with pineapple and nuts
377,Картофельные драники с сыром,Potato pancakes with cheese
378,Суп с чечевицей и копченой колбасой,Lentil soup with smoked sausage
379,Стейк из свинины с ягодным соусом,Pork steak with berry sauce
380,"Салат с креветками, авокадо и огурцами",Shrimp salad with avocado and cucumbers
381,Паста с курицей и сливочным соусом,Pasta with chicken and creamy sauce
382,Суп с курицей и картофелем,Chicken and potato soup
383,Жареные баклажаны с чесноком и томатами,Fried eggplant with garlic and tomatoes
384,Курица в апельсиновом соусе с кунжутом,Chicken in orange sauce with sesame
385,"Салат с тунцом, огурцами и томатами","Salad with tuna, cucumbers and tomatoes"
386,Томатный суп с базиликом и хрустящими гренками,Tomato soup with basil and crispy croutons
387,Жареный рис с овощами и креветками,Fried rice with vegetables and shrimp
388,Стейк из лосося с лимонным соусом,Salmon steak with lemon sauce
389,Сырный фондю с хлебом и грушами,Cheese fondue with bread and pears
390,"Салат с курицей, томатами и огурцами",Chicken salad with tomatoes and cucumbers
391,Пирог с мясом и картофелем,Meat and potato pie
392,Запеченная рыба с травами и лимоном,Baked fish with herbs and lemon
393,Крем-суп из тыквы с сырными гренками,Pumpkin cream soup with cheese croutons
394,Паста с креветками и томатным соусом,Pasta with shrimp and tomato sauce
395,Карпаччо из оленины с трюфельным маслом и пармезаном,Venison carpaccio with truffle oil and parmesan.
396,Суп из лесных грибов с копчёным беконом,Forest mushroom soup with smoked bacon.
397,Форель на гриле с лимонным маслом и зеленью,Grilled trout with lemon butter and herbs.
