,Russian,English
50,Тартар из морского гребешка с юкколой и соусом из дикой мяты,Scallop tartare with yukola and wild mint sauce
51,Пельмени с неркой и пюре из батата в томатном соусе,Dumplings with sockeye salmon and sweet potato purée in tomato sauce
52,Печёный картофель с ночной солью и трюфельным кремом,Baked potato with night salt and truffle cream
53,Куриные бёдра с картофелем и грибным соусом с хреном,Chicken thighs with potatoes and horseradish mushroom sauce
54,Закуска из жирного сыра с дикой черемшой и помидорами черри,Appetizer of fatty cheese with wild garlic and cherry tomatoes
55,Филе судака с глазурью из мёда и запечённым цветным капустом,Pikeperch fillet with honey glaze and roasted cauliflower
56,Дичь с пудингом из белых грибов и соусом из розмарина,Wild meat with porcini mushroom pudding and rosemary sauce
57,Ризотто с морепродуктами и петрушкой на кедровом масле,Seafood risotto with parsley in pine nut oil
58,Овощное пюре с луком-пореем и вялеными помидорами,Vegetable purée with leeks and sun-dried tomatoes
59,"Печёный цыплёнок с фермерским сыром, руколой и соусом песто","Baked chicken with homemade cheese, arugula and pesto sauce"
60,Паста с чесноком и креветками в сливочном соусе,Pasta with garlic and shrimp in creamy sauce
61,Тугун с грибами и молодым картофелем,Tugun with mushrooms and baby potatoes
62,Грибы с сыром и орехами,Mushrooms with cheese and nuts
63,Теплый салат с бобами и овощами гриль,Warm salad with beans and grilled vegetables
64,Десерт из мороженого с ягодами и домашним мёдом,Ice cream dessert with berries and homemade honey
65,Лосось в грибной глазури с пюре из тыквы и шпинатом,Salmon in mushroom glaze with pumpkin purée and spinach
66,Тигровые креветки с картофельным кремом и соусом из черного чеснока,Tiger prawns with potato purée and black garlic sauce
67,Овощи на гриле с песто из петрушки и хрустящими грибами,Grilled vegetables with parsley pesto and crispy mushrooms
68,Сердце оленя с печеными свеклой и трюфельным соусом,Deer heart with roasted beets and truffle sauce
69,Выпечка с начинкой из сибирского оленя и зелеными грибами,Pastry filled with Siberian venison and green mushrooms
70,Запечённые баклажаны с кедровым соусом и зелеными листьями,Baked eggplants with pine nut sauce and green leaves
71,Тартар из таймырского оленя с икрой и чесночным айоли,Taimyr reindeer tartare with caviar and garlic aioli
72,Говяжьи медальоны с кремом из печёного перца и моркови,Beef medallions with roasted pepper and carrot cream
73,Запеченная курица в трюфельном соусе с солеными огурцами,Baked chicken in truffle sauce with pickled cucumbers
74,Ягненок с жареным картофелем и морскими водорослями,Lamb garnished with roasted potatoes and seaweed
75,Шарики из полбы с соусом из свежих трав и медом,Spelt balls served with fresh herb sauce and honey
76,Уха из северных рыб с дикими грибами и черемшой,"Traditional fish soup uha with northern fish, wild mushrooms and wild garlic"
77,Зелёный салат с кедровыми орехами и заправкой из медового винегрета,Green salad with pine nuts and honey vinaigrette dressing
78,Сыровяленая семга с хрустящими овощами и соусом терияки,Dry-aged salmon with crispy vegetables and teriyaki sauce
79,Десерт из запеченного тыквенного крема с фисташками и черной смородиной,Baked pumpkin cream dessert with pistachios and blackcurrants
80,Севу́жка на гриле с манговым пюре и песто из петрушки,Grilled Sevujka with mango purée and parsley pesto
81,"Бургер с северными моллюсками, соусом из черного чеснока и копчёного сала","Burger with northern clams, black garlic sauce and smoked lard"
82,Котлета из говядины с брусникой и сметанным соусом из хрена,Beef cutlet with cranberries and horseradish sour cream sauce
83,Креветки на гриле с кешью-соусом и обжаренными шампиньонами,Grilled shrimp with cashew sauce and sautéed mushrooms
84,"Сырная тарелка с кедровыми орехами, медом и ягодным мармеладом","Cheese platter with pine nuts, honey and berry marmalade"
85,Пельмени с грибами и квашеной капустой в бульоне из свинины,Dumplings with mushrooms and sauerkraut in pork broth
86,Обжаренные камчатские мидии с соусом из черемши и картофельным пюре,Fried Kamchatka mussels with wild garlic sauce and potato purée
87,Тартар из нельмы с авокадо и семенами подсолнуха на гречневом хлебе,Nelma tartare with avocado and sunflower seeds on buckwheat bread
88,Чир с картофельным кремом и соусом из таежной черемши,Broad whitefish with potato purée and Taiga wild garlic sauce
89,Гратен из баклажанов с терияки и обжаренными кедровыми орехами,Eggplant gratin with teriyaki and sautéed pine nuts
90,Севиче из тигровых креветок с манго и свежей мятой,Tiger shrimp ceviche with mango and fresh mint
91,Вяленая говядина с брусничным соусом и хрустящими чипсами из корнеплодов,Dried beef with cranberry sauce and crispy root vegetable chips
92,Салат из печеных свеклы и козьего сыра с орехами,Roasted beet and goat cheese salad with nuts
93,Рыбное ассорти на льду с домашним смородиновым уксусом и лимоном,Fish assortment on ice with homemade currant vinegar and lemon
94,Десерт из печеного груши с медом и кремом из кедровых орехов,Baked pear dessert with honey and pine nut cream
95,Тартар из кижуча с вялеными томатами и фисташками,Kizhuk tartare with sun-dried tomatoes and pistachios
96,Лосось с муссом из печеного баклажана и арахисом,Salmon with baked eggplant mousse and peanuts
97,Лапша с тигровыми креветками в соусе из трюфельного масла,Noodles with tiger prawns in truffle oil sauce
98,Запеченная тыква с кедровыми орехами и медом,Baked pumpkin with pine nuts and honey
99,"Салат с сезонной редиской, огурцом и йогуртовой заправкой","Salad with seasonal radish, cucumber, and yogurt dressing"
100,Монгольские буузы с олениной и специями,Mongolian buuz with venison and spices
101,Молочный гусятин с печеными овощами и соусом из черемши,Milk goose breast with roasted vegetables and wild garlic sauce
102,Брускетта с копченым лососем и сыром из кедровых орехов,Bruschetta with smoked salmon and cedar nut cheese
103,Пирожки с камчатским крабом и укропом,Pirozhki with king crab and dill
104,Окунь с муссом из моркови и кориандра,Perch with carrot and coriander mousse
105,Белый бульон с хариусом и лапшой из гречки,White broth with grayling and buckwheat noodles
106,Грильованные овощи с соусом из кедровых орехов и черемши,Grilled vegetables with pine nut and wild garlic sauce
107,Лососевые пельмени с трюфельным маслом и креветками,Salmon dumplings with truffle oil and prawns
108,Фаршированные цукини с мясом и соусом из рябины,Stuffed zucchini with meat and rowan sauce
109,"Салат с огурцами, креветками и медовым соусом на гриле","Salad with cucumbers, shrimp, and grilled honey dressing"
110,Жареная нерка с грушевым пюре и клюквенным соусом,Grilled sockeye salmon with pear purée and cranberry sauce
111,Пельмени с олениной и лесными грибами в сливочном соусе,Venison and forest mushroom dumplings in creamy sauce
112,"Салат с грушей, рукколой и пекорино романо в медовой заправке","Pear, rucola and pecorino romano salad with honey dressing"
113,Тартар из лося с брусничным желе и хрустящим картофелем,Elk tartare with cranberry jelly and crispy potatoes
114,Берёзовый парфе с малиной и мёдом,Birch parfait with raspberries and honey
115,Пицца с копченой форелью и маринованными томатами,Smoked trout pizza with pickled tomatoes
116,Стейк из лося с брусничным соусом и печёным картофелем,Elk steak with cranberry sauce and baked potatoes
117,Трюфельная паста с белыми грибами и страчателлой,Truffle pasta with porcini mushrooms and stracciatella
118,Фаршированные белые грибы с сырным кремом и чесноком,Stuffed porcini mushrooms with cheese cream and garlic
119,Сибирский травяной чай с медовым печеньем,Siberian herbal tea with honey cookies
120,Паста с морскими гребешками и соусом из петрушки,Pasta with scallops and parsley sauce
121,Гриль из цукини и баклажанов с песто на кедровых орехах,Grilled zucchini and eggplant with pine nut pesto
122,"Стейк Т-Боун Black Angus с печёным картофелем, соусом порто и брусникой","T-Bone Black Angus steak with baked potatoes, port wine sauce and cranberries"
123,Запеченная свекла с страчателлой и песто из горчицы,Baked beetroot with stracciatella and mustard pesto
124,Хакасский ягненок с гречкой и соусом из волнушек,Khakass lamb with buckwheat and milky cap sauce
125,Тефтели из косули с печеным картофелем и соусом из черной смородины,Spiced roe deer meatballs with roasted potatoes and blackcurrant sauce
126,Пирожки из цветной капусты с рикоттой и кедровыми орехами,Cauliflower pastries with ricotta and pine nuts
127,Канапе с икрой широколобика и копченым маслом,Canape with broad whitefish caviar and smoked butter
128,Бульон из северных рыб с ростками фасоли и яйцом пашот,Broth from northern fish garnished with bean sprouts and poached egg
129,Томатный гаспачо с колотым манговым льдом,Tomato gaspatсho with crushed mango ice
130,Куриные крылышки в карамельно-горчичном соусе с жареным корнем сельдерея,Chicken wings in caramel-mustard sauce with fried celeriac
131,Запеченное филе окуня на гречневой подушке с мятным соусом,Baked perch fillet on a buckwheat bed with mint sauce
132,"Брускетта с обжаренным шиитаке, чесноком и базиликом","Bruschetta with fried shiitake, garlic and basil"
133,Азу из таймырского оленины с солеными огурцами и картофельным пюре,Taimyr venison azu with pickled cucumbers and mashed potatoes
134,"Десерт из облепихи, кизила и фруктового пюре",Sea-buckthorn and cornel dessert with fruit puree
135,Копченая утка с яблочным пюре и жареным картофелем,Smoked duck with apple puree and fried potatoes
136,Салат из печеной тыквы с козьим сыром и кедровыми орехами,Roasted pumpkin salad with goat cheese and pine nuts
137,Крем-суп из белых грибов с гренками и трюфельным маслом,Porcini mushroom cream soup with croutons and truffle oil
138,Тугун с креветками и листьями шпината,Tugun with shrimps and spinach leaves
139,Маринованная нерка со сладким картофелем и трюфельным маслом,Marinated sockeye salmon with sweet potato and truffle oil
140,Камчатский краб с рукколой и лимонным соусом,Kamchatka crab with arugula and lemon sauce
141,Жареная нерка с киноа и овощами-гриль,Fried sockeye salmon with quinoa and grilled vegetables
142,Картофель из печи с буйволиным сыром и трюфельным маслом,Baked potatoes with buffalo cheese and truffle oil
143,Страчателла в листьях салата с жареными овощами,Stracciatella in lettuce leaves with stir-fried vegetables
144,Карпаччо из оленины с сибирским фенхелем и брусникой,Venison carpaccio with Siberian fennel and cranberries
145,Щука под соусом из красных ягод с печеной цветной капустой,Pike perch in red berry sauce with roasted cauliflower
146,Ризотто с черемшой и трюфелями,Risotto with wild garlic and truffles
147,Копченый тунец с зеленым горошком и грецким орехом,Smoked tuna with green peas and walnuts
148,Копченая камчатская нерка с крахмальным рисом и оливками,Smoked Kamchatka sockeye salmon with starchy rice and olives
149,Севиче из форели с малосольными огурцами и творогом,Trout ceviche with pickled cucumbers and cottage cheese
150,"Брускетта с козьим сыром, брусникой и ореховым кремом","Bruschetta with goat cheese, cranberries and nut cream"
151,Стейк-салат с филе миньон и жареными перцами,Steak salad with filet mignon and roasted peppers
152,Тартар из лосятины с пряными травами и ягодами,Elk tartare steak with fresh herbs and berries
153,Тартар из стерляди с яблочным ремуладом и икрой кеты,Sterlet tartare with apple remoulade and ketu caviar
154,"Фунчеза с осьминогом гребешком, мидиями и тигровыми креветками в масле белых трюфелей с базиликом и листом кото","Glass noodles with octopus, scallop, mussels and tiger prawns in white truffle oil with basil and cato pepper leaves"
155,"Пирог Золотая лихорадка с грибами, копчёным салом и картошкой","Gold Rush pie with mushrooms, smoked lard and potatoes"
156,"Пельмени с бурым медведем, брусникой и кедровыми орехами","Dumplings with brown bear meat, lingonberries and pine nuts"
157,Дегидрированный говяжий язык с паштетом из лося на гренках из ржаного хлеба с ягодами можжевельника,Dehydrated beef tongue with elk pâté on rye bread croutons with juniper berries
158,"Енисейский таймень с картофелем грен, обжаренным на бараньем жире, с ягодным соусом на черной смородине и копчёной сметаной","Yenisei taimen with potato gratin sautéed in mutton fat, blackcurrant berry sauce and smoked sour cream"
159,"Баклажан из печи с терияки, ореховым соусом и страчателлой",Wood stove baked eggplant garnished with teriyaki and nut sauce with stracciatella
160,Чёрные щупальца кальмара с палентой из маниоки и песто из крапивы,Black squid tentacles with cassava polenta and nettle pesto
161,Ростбиф из оленины под соусом из айвы с клюквой и кедровыми орешками,"Roast venison with quince sauce, cranberries and pine nuts"
162,Мусс из крыжовника с песочным хворостом и ромашковым белым шоколадом,Gooseberry mousse with sandy fried dough and chamomile white chocolate
163,Щучья икра с бриошью и сливочным крем-чиз на луковом мармеладе,Pike caviar with brioche and cream cheese on onion marmalade
164,Кислые щи из копчёной кислой капусты с ржаными сухариками и сметаной,"Sauer soup with smoked sauerkraut, rye croutons and sour cream"
165,Оленина под квашеной капустой с обжаренным картофелем и томатным вареньем,"Venison with sauerkraut, fried potatoes and tomato jam"
166,"Говяжьи рёбра с мёдом, ягодным соусом и пюре из сельдерея с лесным орехом","Beef ribs with honey, berry sauce and celery purée with hazelnuts"
167,"Десерт Ягель с кедровым мёдом, сметанным кремом и малиной","Yagel dessert with pine honey, sour cream and raspberry"
168,Белые грибы в трюфельном масле с кедровыми орехами,Porcini mushrooms in truffle oil with pine nuts
169,Брускетта с тартаром из оленя и соусом из черемши,Bruschetta with wild game tartare and wild garlic sauce
170,Карпаччо из форели с маринованными шампиньонами и хрустящими артишоками,Trout carpaccio with pickled mushrooms and crispy artichokes
171,Варение из черной смородины и апельсина с со сливочным кремом на ржаном хлебе,Black currant and orange compote served with whipped cream on rye bread
172,"Теплый салат из запечённой тыквы с острым козьим сыром,  дикой рукколой и медово-горчичной заправкой","Warm salad with roasted pumpkin, spicy goat cheese, wild arugula and honey mustard dressing"
173,Чизкейк Рикотта с малиновым соусом и мятой,Ricotta cheesecake with raspberry sauce and mint
174,Панчетта гриль с карамелизированным яблоком и молодой черемшой,Grilled pancetta with caramelized apple and young wild garlic
175,"Коктейль из креветок, лосося и дорадо с авокадо и розовым грейпфрутом","Cocktail of prawns, salmon and dorado with avocado and pink grapefruit"
176,Жюльен из лесных грибов с трюфелем и белым соусом Тартар,Forest mushrooms and truffle julienne with white tartare sauce
177,Тушеная косуля с черносливом и красным вином с ореховым пюре,"Braised roe deer with prunes and red wine, served on a bed of nut purée."
178,"Фаршированная камбала с крабовым мясом, креветками в соусе бешамель",Stuffed flounder with crab meat and prawns in béchamel sauce.
179,Конфета из белого шоколада с лесными ягодами и грецким орехом,White chocolate sweets with forest berries and walnuts
180,"Сардина в томатном соусе с лаймом и кинзой, подается на тостах",Sardines in tomato sauce with lime and cilantro served on toasts
181,"Щи из утки с корнеплодами и зеленым горошком, заправленные сметаной","Duck shchi with vegetables and green peas, served with sour cream"
182,"Кижуч с копченым гусятиной и белыми грибами, посыпанная пармезаном",Atlantic salmon with smoked goose and porcini mushrooms sprinkled with Parmesan
183,Соус порто с сезонной черешней,Port wine sauce with seasonal wild cherries
184,Торт Павлова с маракуйей и ягодным сорбетом,Pavlova with passion fruit and berry sorbet
185,Кальмары гриль с соусом сацебели и кедровыми орешками,Grilled squid with satsebeli sauce and pine nuts
186,Мороженое из березы с ванильным бисквитом и кленовым сиропом,Birch ice cream with vanilla sponge cake and maple syrup
187,"Салат ""Яркий микс"" с ростками клевера, редисом и тыквенным маслом","Bright mix salad with clover sprouts, radish and pumpkin seed oil"
188,Лосось на пару с японским омлетом и соевым соусом,Steamed salmon with Japanese omelette and soy sauce
189,"Теплый салат из тыквы и лесных грибов, заправленный оливковым маслом",Warm pumpkin and forest mushrooms salad with olive oil dressing
190,Морской гребешок с кокосовым муссом и жареным луком,Scallops with coconut mousse and roasted onion
191,"Пирожки с кроликом и тресковой печенью, подаются с ягодным соусом",Rabbit and cod liver turnovers with berry sauce
192,"Сибас на пару, поданный с брокколи на гриле и лимонно-горчичным соусом","Steamed seabass, served with grilled broccoli and lemon mustard sauce"
193,"Ролл с зеленью, креветками и соусом песто из базилика","Roll with herbs, shrimps and basil pesto sauce"
194,Тартар из хакасской говядины с дегидрированным тувинским яком в картофельной канеле,Khakass beef tartare with dehydrated Tuvan yak in potato canela
195,Стейк Денвер  Black Angus с квашеной капустой и брусникой,Black Angus denver steak with sauerkraut and cranberries
196,Маринованные рыжики с луком и кунжутным муссом,Marinated forest mushrooms with pickled onions and sesame mousse
197,Каре ягненка с брокколи и картофельным муссом,Lamb rack with broccoli and potato mousse
198,Ореховая пицца с трюфелями и моцареллой,Nut pizza with truffles and mozzarella
199,Сырная крем-суп с гренками и сырными хлопьями,Cheese cream soup with croutons and cheese flakes
200,Форель на гриле с лимоном и оливковым маслом,Grilled trout with lemon and olive oil
201,Свекла глазированная в свекольном мусе на листьях шпината,Glazed beets with beetroot mousse on spinach leaves
202,Черная тарелка с четырьмя видами икры и хлебным кремом,Black plate with four caviar types and bread cream
203,Филе лосося на гриле с маринованным луком и грибным соусом,Grilled salmon fillet with marinated onions and mushroom sauce
204,"Камамбер из кедрового ореха, запеченный с медом и лесными орехами","Pine nut Camembert cheese, baked with honey and hazelnuts"
205,Каре хакасского ягненка с масляным печеньем и фисташковым пеной,Khakass lamb rack with shortbread cookies and pistachio foam
206,Суп харчо из дикого оленя с зеленью и сметаной,Karelian wild venison harcho with herbs and sour cream
207,Черный медовик с кремом из белого шоколада и лесными ягодами,Black honey cake with white chocolate cream and forest berries
208,Таежный раф со вкусом кедровых орешков и морошки,Taiga raf with pine nut and cloudberry flavor
209,"Каре ягненка с пастой, сыром и трюфельным соусом","Lamb rack with pasta, cheese, and truffle sauce"
210,Стейк рибай  Black Angus с квашеной капустой и брусникой,Black Angus ribeye steak with sauerkraut and cranberries
211,Овощи гриль с песто из кедрового ореха и кабачоком,Grilled vegetables with pine nut pesto and zucchini
212,Грибной мисо-суп с шиитаке и тофу,Mushroom miso soup with shiitake and tofu
213,"Домашний чизкейк с манго, черешней, пломбирным кремом и лесными орехами","Homemade cheesecake with mango, cherry, ice cream mousse and nuts"
214,Треска с пюре из черного чеснока на грибном бульоне с жареным луком-пореем,Cod with black garlic purée and mushroom broth with fried leeks
215,"Филе судака в корочке из сибирского миндаля, картофельная запеканка с фенхелем и соусом из красной икры","Pike perch fillet with Siberian almonds crust, potato gratin with fennel and red caviar sauce"
216,Ветчина из дикого кабана с ароматным укропным маслом и подкопченным сыром,Baked wild boar ham served with dill oil and smoked cheese
217,Маринованный северный омлет с трюфельным айоли и мелко нарезанным зеленым луком,Marinated northern omelette with truffle aioli and finely chopped green onions
218,"Мясо медведя с кисло-сладким соусом на ряженке, пюре из пастернака и засахаренными ягодами клюквы","Bear meat with sweet and sour sauce made of baked milk, parsnip purée and candied cranberries"
219,Фаршированная перепелиная грудка в апельсиновом соусе с гречневым салатом из сухофруктов,Stuffed quail breast served with orange sauce and buckwheat salad with dried fruits
220,"Паштет из печени косули с луковым мармеладом, гренками из чёрного хлеба и жареными кедровыми орешками","Deer liver pâté with onion jam, black bread toasts and fried pine nuts"
221,"Кета с грибным жульеном, соусом из тимьяна и лимонной цедры","Keta salmon with mushroom julienne, thyme & lemon zest sauce"
222,"Мясной пирог с олениной, дикими ягодами и лесными травами в соусе из красной смородины","Meat pie with venison, wild berries and forest herbs served with red currant sauce"
223,"Филе стерляди в пряном томатном бульоне, цветная капуста в панировке из грецкого ореха с соусом из облепихи","Sterlet fillet in spicy tomato broth, cauliflower with walnut crust and sea buckthorn sauce"
224,"Крем-суп из лесных грибов с семенами льна, лесными орехами и шкварками из грудинки","Cream of forest mushrooms with flax seeds, hazelnuts and pork belly cracklings"
225,Запеченный батат с фасолью и ароматным соусом на основе меда и острого перца,Baked sweet potato with beans and honey & spicy pepper sauce
226,Грудинка молодого барашка на кости с картофельными драниками и соусом из красного вина с томатами и розмарином,Baby lamb spare rib with potato pancakes and red wine sauce with tomatoes and rosemary
227,"Мясо гуся томленое с яблоками и черносливом, сервируется с жареной свеклой и луковым жюльеном",Braised goose meat with apples and prunes served with roasted beets and onion julienne
228,"Сибирские пельмени с говядиной и свининой, политые сливочно-горчичным соусом и посыпанные свежим укропом","Siberian pelmeni with beef and pork, topped with creamy mustard sauce and sprinkled with fresh dill"
230,Треугольные пельмени с грибами и луком в грибном бульоне на суборде,Triangular dumplings with mushrooms and onions in mushroom broth on sourdough bread
231,Стейк из лося с брусничным соусом и жареным янтарем,Elk steak with lingonberry sauce and fried amber
232,Цветная капуста на гриле с соусом из цветной капусты и кешью,Grilled cauliflower with cauliflower-cashew sauce
233,Енисейский осетр с шампиньонами и свекольной икрой,Yenisei sturgeon with champignons and beetroot caviar
234,Морковный салат с маринованным имбирем и кунжутным рафом,Carrot salad with pickled ginger and sesame raf
235,"Тартар из семги с авокадо и икрой семги, подается с гречневыми тостами","Salmon tartare with avocado and salmon roe, served with buckwheat toasts"
236,Морской черт с гребешком и ризотто из перловки,Monkfish with scallop and pearl barley risotto
237,Шоколадный ассорти с фисташковым пралине и мятным мороженым,Chocolate assortment with pistachio praline and mint ice cream
238,"Салат ""Солнечная осень"" с ореховым либеле, грушей и дикой рябиной","Salad ""Sunny Autumn"" with hazelnut liebele, pear and wild rowan"
239,Курица том-ям с кокосовым молоком и базиликом,Tom-yum chicken with coconut milk and basil
240,"Сет из собственных паштетов: из марала, из оленя и из розового лосося","Set of homemade pâtés: Siberian stag, venison and pink salmon"
241,Филе кролика в ягодном кляре с маринованными кореньями,Rabbit fillet in berry batter with pickled root vegetables
242,Свекольные равиоли с брынзой и песто из молодой зелени,Beetroot ravioli with feta and young herb pesto
244,Креветки на гриле с лососевым муссом и медово-лимонным соусом,Grilled shrimp with salmon mousse and honey-lemon sauce
245,Суп из белых грибов с трюфельным маслом и крутонами,White mushroom soup with truffle oil and croutons
246,Копченая утка с апельсинами и медовым соусом,Smoked duck with oranges and honey sauce
247,Филе судака с пюре из цветной капусты и лисичками,Zander fillet with cauliflower purée and chantarelles
248,"Салат с копченым хариусом, авокадо и орехами","Salad with smoked grayling, avocado, and nuts"
249,Быстрая закуска из утиной печени с конфи из лука и травами,Quick duck liver pâté with onion confit and herbs
250, Пирог с ягненком и зелеными шпинатами,Lamb and spinach pie
251,Ассорти из фермерских сыров с домашними фруктами,Assorted farmhouse cheeses with homemade fruits
252,Паста с дикими грибами и сливочным соусом трюфель,Pasta with wild mushrooms and truffle cream sauce
253,"Тортилья с куриным филе, маслинами и сыром чеддер","Tortilla with chicken fillet, olives, and cheddar cheese"
254,Фаршированная лодочка из баклажанов с говядиной и помидорами,Stuffed eggplant boat with beef and tomatoes
255,Северный гаспачо с черемшой и медом,Northern gazpacho with ramsons and honey
256,Куриная грудка с пюре из квашеной капусты и черными ягодами,Chicken breast with sauerkraut purée and black berries
257,Яйцо пашот на тосте с авокадо и устричным соусом,Poached egg on toast with avocado and oyster sauce
258,Тарталетки с кремом из сыра и дикими ягодами,Tartlets with cheese cream and wild berries
259,Запеченная утка с яблоками и медом на картофельном пюре,Roast duck with apples and honey on mashed potatoes
260,Арктическая находка: треска с морскими водорослями и соусом из лимона и укропа,Arctic find: cod with seaweed and lemon-dill sauce
261,Классический борщ с уткой и сметаной,Classic borscht with duck and sour cream
262,Лосось на гриле с ягодным соусом и спаржей,Grilled salmon with berry sauce and asparagus
263,Печеные овощи с пряностями и оливковым маслом,Baked vegetables with spices and olive oil
265,Утка по-пекински с лаймовым соусом и булгуром,Peking duck with lime sauce and bulgur
266,Лимонный тарт с меренгой и ягодным компотом,Lemon tart with meringue and berry compote
267,Пирожки с говядиной и грибами в соусе из сметаны,Beef and mushroom pastries in sour cream sauce
269,"Теплый салат с рябчиком, шпинатом и кедровыми орехами","Warm salad with partridge, spinach, and pine nuts"
270,Греческий йогурт с медом и орехами,Greek yogurt with honey and nuts
271,Креветки в соусе карри с рисом и кокосовым молоком,Shrimp in curry sauce with rice and coconut milk
272,"Суши с рыбой и авокадо, поданные с соевым соусом",Sushi with fish and avocado served with soy sauce
273,"Лепешка из полбы, запеченная с зеленью и лаймом",Spelt flatbread baked with herbs and lime
274,Филе минтаю в сливочном соусе с запеченными овощами,Pacific cod fillet in creamy sauce with roasted vegetables
275,Печеный картофель с сыром и черным перцем,Baked potatoes with cheese and black pepper
276,"Салат с тигровыми креветками, манго и лаймом","Salad with tiger prawns, mango and lime"
277,Теплый пирог с грибами и шпинатом,Warm pie with mushrooms and spinach
278,Филе лосося на гриле с травами и лимоном,Grilled salmon fillet with herbs and lemon
279,Пирожки с камчатским крабом и картофелем,Pies with king crab and potatoes
280,Овощи на гриле с морской солью,Grilled vegetables with sea salt
