,Russian,English
113,Фреш яблочный,Apple fresh juice
114,Лимонады,Lemonades
115,Грушево - яблочный с мятой,Pear –apple with mint
116,Мандарин-роза,Tangerine-rose
117,Манго - маракуйя,Mango-passionfruit
118,Фиалковый,Violet
119,Чай авторский и травяные сборы,Homemade herb tea
120,Душа тайги ,Soul of Taiga
121,Цветы Хакасии,Khakassia flower
122,Пряная облепиха ,Spicy sea-​​buckthorn berry
123,Сибирская ботаника,Botanica Siberica
124,Чай Брусничник,Lingonberry
125,Чай Лесной дар,Forest gift
126,Чай классический и китайский,Classic and chinese tea
127,Ассам ,Assam black tea
128,Эрл Грей,Earl Grey black tea
129,Зеленый классический,Green tea
130,Жасмин,Jasmine green tea
131,Молочный улун,Milk oolong
132,Да Хуан Пао,Dàhóngpáo Chinese oolong tea
133,Тегуань Инь,Tiě Guān Yīn oolong tea
134,Шу Пуэр,Shú pǔ ěr
135,Кофе,Coffee
136,Эспрессо,Espresso
137,Американо,Americano
138,Капучино ,Cappuccino
139,Двойной Капучино ,Double Cappuccino
140,Капучино кокосовый ,Coconut Cappuccino
141,Латте,Latte
142,Таежный раф,Taiga raf
143,Какао,Hot chocolate
144,Какао ореховое,Nut Hot Cocoa
145,Какао с маршмеллоу,Hot Cocoa With Marshmallows
146,"подаётся на замороженном камне с четверговой солью и молотым перцем, соусом понзу и авторским дипом","served on a frozen stone with black salt and ground pepper, ponzu sauce and special dip"
147,подаются малосольными с нашим полбяным хлебом из печи и взбитым маслом,served lightly salted with stove-baked spelled bread and whipped butter
148,подаётся с гречишными оладьями и взбитым маслом,served with buckwheat fritters and whipped butter
149,"подаются на льду с домашним смородиновым уксусом, понзу и лимоном","served on ice with homemade currant
vinegar, ponzu sauce and lemon"
150,наши специалитеты из камеры Dry Age,our specialties from the Dry-aging chamber
151,"Если у вас есть аллергия на определённые продукты, пожалуйста, сообщите об этом своему официанту.","If you are allergic certain foods, please let your waiter know."
152,наличие и сорт устриц уточняйте у официанта, Please check the availability and types of oysters with the waiter
153,Команда ресторана Tunguska во главе с бренд-шефом Николаем Бобровым представляет сет «Легенды города К.»,"The team of Tunguska restaurant, led by brand-chef Nikolai Bobrov, presents the set ""Legends of the town of K."""
154,"Он посвящен городским легендам и мистическим явлениям, знаковым местам и известным персонам, а также историческим событиям, связанным с великим городом на Енисее.","It is dedicated to urban legends, mystical phenomena, iconic places and famous people, as well as historical events related to the great city on the Yenisei river."
155,"Каждый курс, всего их восемь — это отдельная история, которая будет рассказана устным и гастрономическими языками, но не каждая из них случилась на самом деле.",Each of eight courses is a separate story that is told in both gastronomic and human languages. But not every story actually happened.
156,"Многие истории за время своего существования обросли новыми подробностями и фактами, а некоторые исказились до неузнаваемости.","Many of these stories gathered new details and facts during their lives, and some have been distorted beyond recognition."
157,"И гостям предстоит решить — какие из историй являются правдой, а какие вымыслом.",And the guests will have to decide which of the stories are true and which are fiction.
158,Существовала ли красноярская девочка-фантом?,Was there a Krasnoyarsk phantom girl?
159,Являются ли красноярцы потомками индейцев и что ел цесаревич Николай во время своего визита в Сибирь?,Are people of Krasnoyarsk descendants of Indians and what did tsarevich Nikolai eat during his visit to Siberia?
160,Что такое «Ватный завтрак» и какие излишества мог позволить себе городской магнат во времена сибирской золотой лихорадки?,"What is a ""cotton wool breakfast"" and what luxury could a tycoon afford during the Siberian gold rush?"
161,Истина или ложь — решать вам.,True or false — it's up to you to decide.
162,"Этот сет — результат полугодовой работы не только команды ресторана, но и привлеченных специалистов.","This set is the result of six months of work not only of the restaurant team, but also of the specialists that were involved."
163,"Мы сотрудничали с мастерами по керамике и дереву, обращались к декораторам, а также консультировались с городскимиисториками и культурологами.","We collaborated with craftsmen specialised in ceramic and wood, contacted decorators, and consulted with urban historians and cultural scientists."
164,"Помимо этого, в создании подарка для гостей поучаствовалошесть представителей современного искусства Красноярска.","In addition, six contemporary artist of Krasnoyarsk participated in the creation of a gift for our guests."
165,Стоимость сета – 5000 рублей.,The cost of the set is 5000 rubles.
166,Винный пэйринг от бренд-сомелье Екатерины Бобровой – 4000.,Wine pairing by brand-sommelier Ekaterina Bobrova – 4000.
167,Безалкогольный пэйринг от шеф-бармена Дмитрия Трушина - 3000.,Non-alcoholic pairing by chef-bartender Dmitry Trushin - 3000.
168,Сет доступен к заказу у администратора за сутки с воскресенья по четверг.,"The set is available by pre-order at the manager 24 hours before the visit, from Sunday to Thursday."
169,Забронироватьс ет: 269-93-88,Book a set: 269-93-88
170,"Печеные перцы с ореховым кранчем, домашней страчателлой и тонатто на тугуне ",Roasted peppers with crunchy walnut served with homemade stracciatella and tugun tonnato
171,Нерка в лимонном кимчи с сезонной хурмой и листьями кинзы ,"Sockeye salmon served with lemon kimchi, seasonal persimmon and cilantro leaves"
172,Енисейская нельма с черной икрой из боровиков в соусе на хрене с икрой хариуса,Yenisei nelma with black mushroom spread caviar served with horseradish sauce and grayling caviar
173,Ростбиф из говядины с печеными перцами и трюфельным тонатто на тугуне,Roast beef garnished with roasted peppers and truffle tugun tonatto 
174,"Свекольные равиоли с копченым сыром, кедровым урбечем, малиновым соусом и икрой нерки ",Beetroot ravioli with smoked cheese and cedar nut butter served with raspberry sauce and sockeye caviar
175,"Зеленый салат с арбузной редькой и брокколи, авокадо, цукини и разными листьями в медовом винегрете","Green salad with watermelon radish, broccoli, avocado, zucchini and leaves served with honey vinaigrette"
176,"Стейк-салат с мраморной говядиной Black Angus с молодым картофелем, битыми огурцами, печеными перцами и разными листьями в горчичном дипе ","Marbled Black Angus beef with baby potatoes, smashed cucumbers, roasted peppers and assorted leaves in a mustard dip"
177,"Хурма с авокадо и грецким орехом, черри, семечками подсолнуха и соусом из тофу с медом ","Persimmon with avocado, walnuts, cherry tomatoes and sunflower seeds served with honey-tofu sauce"
178,"Пельмени кундюмы с боровиками и картофелем, взбитой сметаной и демигласом на лесных грибах ",Kundyuma potato-mushroom dumplings served with whipped sour cream and demi-glace forest mushrooms
179,Тувинские чебуреки хуужуры с оленем и бараньим салом в соусе на куруте,Tuvan reindeer meat and mutton fat khuushuur under kashk sauce
180,Вырезка оленя гриль с трюфельным жу и кашей из цветной капусты с ряженкой ,Grilled reindeer tenderloin with truffle jus sauce garnished with cauliflower porridge with fermented baked milk 
181,"Корейка косули малой прожарки с грибным демигласом, брокколи и картофельными пельменями ",Low-rare roe deer loin with mushroom demi-glace served with broccoli-potato dumplings
182,Пожарская котлета из перепелки с муссом строганов и ферментированной морковкой,Pozharsky quail cutlet with stroganoff mousse garnished with fermented carrots
183,Язык таймырского оленя с кремом из копченой тыквы и соусом жу ,Taimyr reindeer tongue served with smoked pumpkin cream and jus sauce
184,"Александр Кучеров, 0.75 please, Красноярск","Alexander Kucherov, 0.75 please, Krasnoyarsk"
185,Краб / мокрец / эстрагон,Crab / chickweed / tarragon
186,Топинамбур / икра северных рыб / подсолнечник ,Jerusalem artichoke / northern fish caviar/ sunflower
187,Икра енисейской стерляди/ лангустин / бархатцы,Yenisei sterlet caviar / langoustine / marigold flowers
188,"Михаил Михайлов, Булгаков, Дзе, Красноярск","Mikhail Mikhailov, Bulgakov, Dze, Krasnoyarsk"
189,Олень / лисички / джем из нектаринов / пекорино романо ,Venison / chanterelles / nectarine jam / pecorino romano
190,"Максим Любимов, LEO WINE&KITCHEN, Начало, Ростов-на-Дону","Maxim Lyubimov, LEO WINE&KITCHEN, Nachalo, Rostov-on-Don"
191,Капуста / мидии / крыжовник / сурепка,Cabbage / mussels / gooseberries / yellow rocket flowers
192,"Дмитрий Гарифулин, TWENTY TWO, Горячий цех, Новосибирск","Dmitry Garifulin, TWENTY TWO, Goryachiy cekh, Novosibirsk"
193,Олень / брискет / кедровый орех / виноградный лист / консоме из сахарной косточки / подкопченная сметана / щучья икра,Venison / brisket / pine nuts / grape leaf / bone consommé / smoked sour cream / pike caviar
194,"Антон Исаков, LA BIGA, Санкт-Петербург","Anton Isakov, LA BIGA, St. Petersburg"
195,Чир / копчёное молоко / корнеплоды ,Broad whitefish /smoked milk / root vegetables
196,"Николай Бобров, Tunguska, Красноярск","Nikolay Bobrov, Tunguska, Krasnoyarsk"
197,Марал /  глазированная свекла /  айоли из черемши и черного чеснока / порто / костный мозг / икра стерляди ,Siberian stag / glazed beetroot / wild and black garlic aioli / port wine sauce / bone marrow / sterlet caviar
198,"Роман Чемеренко, Bellini, Красноярск","Roman Chemerenko, Bellini, Krasnoyarsk"
199,Чизкейк камамбер / икра енисейской стерляди / мороженое из смородинового листа,Camembert cheesecake / Yenisei sterlet caviar / currant leaf ice cream
200,Сет доступен к заказу у администратора за сутки с воскресенья по четверг.,"The set is available by pre-order at the manager 24 hours before the visit, from Sunday to Thursday."
201,Забронировать сет: 269-93-88,Book a set: 269-93-88
202,"Сезонная редиска со взбитым творогом, черемшой, огурцом, вялеными домашними томатами и щавелем","Seasonal radish with whipped cottage cheese, wild garlic, cucumber, dried tomatoes and sorrel"
203,"Рожки с тартаром из говядины с вяленой клюквой, кедровым орехом и айоли с чёрным чесноком","Cones with beef steak tartare, sprinkled with dried cranberries, pine nuts and black garlic aioli"
204,"Тартар из оленины и нерки с сезонной черемшой, кололе из икры омуля, айоли тархун и огурцом в тыквенном масле","Venison and sockeye salmon steak tartare served with seasonal wild garlic, dried omul caviar, tarragon aioli and cucumber with pumpkin oil"
205,"Бургер с фалангой краба, релишем из вяленой клюквы, криспи беконом, ложным чеддером, сезонной крапивой и муссом хрен-васаби","Crab phalanges burger with dried cranberry relish, crispy bacon, alternative cheddar cheese, seasonal nettle leaves and horseradish-wasabi mousse"
206,"Окрошка с цыплёнком, заправкой на квасе и сорбетом из огурца, хрена и мяты","Okroshka cold soup with kvass and chicken served with sorbet of cucumber, horseradish and mint"
207,Зелёные щи на крапиве и щавеле с цыплёнком гриль,"Green shchi cabbage soup with grilled chicken, nettle and sorrel leaves"
208,Пельмени со сморчками и сезонной крапивой,Dumplings with morels and seasonal nettle leaves
209,"Каре хакасского ягненка с полбой, эспумой из кабана и соусом порто с сезонной черешней","Khakass lamb rack garnished with spelt, wild boar foam and port wine sauce with seasonal wild cherries"
210,Берёзовая панна-котта с сорбетом из зелёных яблок и молодыми еловыми побегами,Birch panna cotta with green apple sorbet and fresh fir shoots
211,дегустационный сет,Tasting set
212,РИТУАЛЫ,The rituals
213,Чолуукшур. Ритуал приветствия,Choluukshur. The greeting ritual.
214,"Кедровый сыр, чипсы из молочной пены, трюфельный жу, икра из выдержанного сыра","Cedar nut cheese, milk foam chips, truffle jus and aged cheese caviar"
215,Оваа. Ритуал благодарности духам,Ovva. The spirits gratitude ritual.
216,"Хрустящий камень, косуля, брусника, чёрный чеснок, бархатцы","Crispy rock of roe deer, cranberries, black garlic and marigold flowers"
217,Шаманский гриб. Ритуал-противоядие,Shaman mushroom. The antivenom ritual.
218,"Суп-капучино на суттуг шай, сендвич из мухомора",Suttug shai tea cappuccino-soup and fly agaric sandwich
219,Сороки. Ритуал заклинания весны,Magpies. The spring summoning ritual.
220,"Птичка-пирог, перепёлка, фуагра, вяленный як, ряженка с хреном","Bird-shaped pie with quail, foie gras, dried yak meat and horseradish ryazhenka  "
221,Имты. Ритуал кормления огня,Imty. The fire feeding ritual.
222,"Блэк ангус, взбитый жир с мисо, соус из крови марала","Black angus, whipped fat with miso, served with deer blood sauce"
223,Хой. Ритуал благословения предков,Hoy. The ancestral blessing ritual.
224,"Голова барана – щёки, язык, зобная железа, крем из печёного перца и кукурузы","Sheep cheek, tongue, sweetbread, roasted pepper and corn cream served in a sheep skull"
225,Калинник. Ритуал сеяния,Kalinnik. The sowing ritual.
226,"Калиновый кисель, вода смородина-красный апельсин, сырный крем","Guelder rose jelly, currant and red orange water, cheese cream"
227,Обереги. Финальный ритуал инициации,Amulets. The final initiation ritual.
228,"Березовая меренга, гель из березового сока, крем базилик","Birch meringue, birch sap gel and basil cream"
229,Матрешка-шаман с тремя тотемными животными,"Shaman and totem animals Russian dolls hand-painted by an artist of Evenk ""Haivalam Brand"""
230,Конфеты ручной работы «Вкусы Енисейской Сибири» ,"Handmade sweets ""Flavours of the Yenisey Siberia"""
231,8 шт. Пихта-кедровый орех / вяленый марал-тёмный шоколад,8 pcs set. Fir and pine nuts/Dried elk meat with dark chocolate
232,Коппа тувинского яка,Tuvan yak coppa
233,Авторские травяные сборы ,Original herbal collection
234,"На выбор: «Цветы востока», «Душа тайги», «Сказочный лес»","Sets: Flowers of the East"", ""Spirit of Taiga"", ""Fairytail forest"""
235,Настойка в подарочном тубусе ,Alcoholic tincture in a gift tube
236,Облепиховка/сибирская ирга на таволге/джин на чёрной смородине и пихте/водка на печёных яблоках/кедровка на морошке и листьях смородины/джин на малине/черноплодка/хреновуха,"Sea buckthorn / Siberian amelanchier and meadowsweet / gin of blackcurrant and fir / baked apples  vodka / pine nut, cloudberries and currant leaves / gin of raspberries / chokeberry / horseradish"
237,"В ресторане можно приобрести подарочные сертификаты номиналами 2000, 3000, 5000 и 10000 рублей. Каждый сертификат вручную запечатывается сургучной печатью с петроглифом, а сертификаты номиналами от 5000 тысяч упаковываются в фирменные чёрные хлопковые мешки.","The restaurant provides gift certificates of 2000, 3000, 5000 and 10000 rubles. Each certificate is hand-sealed with a petroglyph stamp. Certificates of 5,000 or above are packaged in branded cotton black bags."
238,Нельма,Nelma
239,Чир ,Broad whitefish
240,Тугун,Tugun
241,Устрица ,Oyster 
242,Хариус ,Grayling
243,Марал,Siberian stag
244,Лось,Elk
245,Тартар из хакасской говядины с дегидрированным тувинским яком в картофельной канеле с соусом из печёного перца,Khakass beef tartare with dehydrated Tuvan yak in potato canela with roasted pepper sauce
246,Тартар из корейки косули с тоннато на тугуне на стеклянном хлебе с юколой лося / корзинка с дикой стерлядью и сырным муссом с икрой из зелёного горошка с копчёным желтком / пате из марала в ежевичной глазури,Khakass beef tartare with dehydrated Tuvan yak in potato canela with roasted pepper sauce
247,Сугудай из нельмы с маринованным яблоком и пряным лимонным маслом в канеле из родниковой воды,Nelma sugudai with pickled apples and spicy lemon oil in a spring water canelé
248,"Сет бонбонов «Овощной салат»
малосольный огурец  / сметана-чеснок / маринованные томаты","Set of bon-bons ""Vegetable salad""   salted cucumber / sour cream-garlic / pickled tomatoes"
249,Хрустящие камни с сырным кремом на копчёном хариусе и юколой нерки с икрой хариуса,"Crispy rocks with smoked grayling-cheese cream, nelma yukola and grayling caviar"
250,"Лепёшка из печи с ростбифом, соусом тоннато на тугуне и маринованным огурцом","Oven-baked flatbread with roast beef, tugun tonnato and pickled cucumbers"
251,Туруханский муксун в остром свекольном креме с маринованными черри и кинзой,Turukhansk muksun in spicy beetroot cream with pickled cherry tomatoes and cilantro
252,Тартар из оленя на профитролях из тувинского далгана с икрой хариуса,Deer tartare in Tuva dalgan profiteroles with grayling caviar
253,Бочковые рыжики со сметанным муссом на хрене и огурцами в укропном масле с маринованным луком,Forest mushrooms with horseradish sour cream mousse and cucumbers in dill oil with pickled onions
254,"Разные сыры с абанским мёдом, ягодным мармеладом и грецким орехом","Various cheeses with blueberries, local honey, berry marmalade and walnut"
255,"Брускетта с печёным баклажаном, страчателлой и грецким орехом","Bruschetta with baked eggplant, stracciatella and walnut"
256,Брускетта с камчатским крабом и копчёным хариусом,Bruschetta with red king crab and smoked grayling
257,"Зелёный салат с арбузной редькой и брокколи, авокадо, цукини и разными листьями
в медовом винегрете","Green salad with watermelon radish, broccoli, avocado, zucchini and leaves served with honey vinaigrette"
258,"Стейк-салат с мраморной говядиной Black Angus с молодым картофелем, битыми огурцами, печёными перцами и разными листьями
в горчичном дипе","Marbled Black Angus beef with baby potatoes, smashed cucumbers, roasted peppers and assorted leaves in a mustard dip"
259,"Тигровые креветки с домашней страчателлой, горошком и листьями ромейна
с огуречным кетчупом","Tiger prawns with homemade stracciatella, peas and romaine lettuce served with cucumber ketchup"
260,"Чафан на морковном хумусе с телятиной, вешенками и хрустящим картофелем","Chafan salad with veal, oyster mushrooms and crispy potatoes on carrot hummus "
