,Russian,English,Chinese
80,"Цыплёнок в глазури из трюфельного мёда
с кукурузным муссом и припущенным
шпинатом с кедровым орехом ",Chicken in truffle honey glaze with corn mousse and poached spinach served with pine nuts,松露蜜汁鸡配玉米慕斯、雪松果和炖菠菜
81,"Утиная ножка конфи с муссом из подкопчённого топинамбура и чипсами из сезонных корнеплодов
",Duck leg confit with smoked Jerusalem artichoke mousse and seasonal root vegetable chips,摩尔曼斯克鳟鱼配烟熏鲑鱼慕斯、烤土豆和黄瓜酱
82,Овощи,Vegetables,蔬菜
83,Королевские шампиньоны гриль с песто из петрушки на кедровом орехе ,Grilled white mushrooms with parsley pesto sprinkled with pine nuts,烤白蘑菇配香芹香蒜酱和雪松果
84,Авокадо гриль со сметаной и кунжутным релишем ,Grilled avocado with sour cream and sesame relish,烤鳄梨配酸奶油和芝麻酱
85,"Баклажан из печи с терияки, ореховым соусом и страчателлой ",Wood stove baked eggplant garnished with teriyaki and nut sauce with stracciatella,烤照烧茄子配坚果酱和斯特拉奇亚泰拉软质干酪
86,Цукини гриль с песто из петрушки на кедровом орехе ,Grilled zucchini with homemade pine tree parsley pesto sauce,烤西葫芦配香芹香蒜酱和雪松果
87,"Фермерская морковь запечённая по-перуански с кремом из кешью и морковным соусом
",Farmer's carrots baked Peruvian style with cashew cream and carrot sauce,烧柴炉烤的菜
88,Картофель из печи с копчёным сливочным маслом и сметаной ,Baked potatoes with smoked butter and sour cream,烤土豆配烟熏黄油和酸奶油
89,Брокколи с сырным соусом и черри ,Broccoli with cheese sauce and cherry tomatoes,西兰花配圣女果和奶酪酱
90,Сладкое,Desserts,甜食
91,"Береза-Береза  - березовое мороженое, березовое суфле, березовый гель, березовые чипсы ","Birch dessert of birch ice cream with birch soufflé, birch gel and birch chips",桦木冰淇淋、桦木舒芙蕾、桦木冻胶、桦木炸片
92,"Шоколадный фондан с мороженым из грецкого ореха, черной смородиной компотэ и горячим ванильным соусом","Chocolate fondant with walnut ice cream, blackcurrant compôte and hot vanilla sauce",熔岩巧克力蛋糕配核桃冰淇淋、黑醋栗糖煮水果和热香荚兰酱
93,"Бордовая Павлова с сорбетом из жимолости и маринованной черешней
",Burgundy Pavlova with honeysuckle sorbet and pickled cherries,烤白蘑菇配香芹香蒜酱和雪松果
94,"Золотая Баба с облепиховым ганешем и таймырской морошкой, брусникой и сусальным золотом","Golden Baba au rhum with sea buckthorn ganache,  Taimyr cloudberries and cranberries wuth golden leaf",烤鳄梨配酸奶油和芝麻酱
95,Тирамису с кремом на белых грибах и шоколадным бисквитом ,Tiramisu with porcini mushroom cream and chocolate biscuit,牛肝菌奶油和巧克力海綿的提拉米苏蛋糕
96,"Домашний чизкейк с карамелью, черешней, пломбирным кремом и лесными орехами ","Homemade cheesecake with caramel, cherry, ice cream mousse and nuts",烤西葫芦配香芹香蒜酱和雪松果
97,Черёмуховый медовик со сметанным кремом на черном кофе ,Bird cherry honey cake with black coffee buttercream and blueberry,稠李果蜂蜜蛋糕配黑咖啡酸奶油
98,"Сет конфет ручной работы ""Вкусы Енисейской Сибири"" клюква-биттер, боровики-белый шоколад, пихта-кедровый орех, вяленый марал-темный шоколад","Set of handmade sweets ""Tastes of the Yenisei Siberia"" bitter cranberry / mushrooms-white chocolate / fir-pine nuts / ""Jerked siberian stag"" dark chocolate",《叶尼塞西伯利亚的味道》手工糖果包包含苦蔓越莓味、白巧克力和牛肝菌味、冷杉和雪松果味、干鹿肉和黑巧克力味
99,К чаю,Tea accompaniment,茶点
100,Таежная брусника с абанским медом  и кедровым орехом ,Taiga cranberries with Aban honey and pine nuts,泰加越橘配阿班蜂蜜和雪松果
101,Конфета из темного шоколада с вяленой клюквой и кедровым орехом  ,Dark chocolate sweets with dried cranberries and pine nuts,干蔓越莓和雪松果黑巧克力糖
102,Напитки,Beverages,饮料
103,Морс ягодный ,Homemade fruit punch,野果汁水
104,Кока-кола,Coca-Cola,可口可乐
105,Тоник,Tonic,通宁水
106,Вода,Water,瓶裝水
107,Сан Бенедетто,San Benedetto still,《圣碧涛》无气水
108,Сан Бенедетто газ,San Benedetto carbonated,《圣碧涛》气泡水
109,"Минеральная вода ""Baikal Reserve""  газ",Baikal Reserve carbonated,《贝加尔湖储备》气泡水
110,"Природная вода ""Baikal Pearl""  б/г",Baikal Reserve still,《贝加尔湖明珠》无气水
111,Сок,Juice,蔬果汁
112,Сок на выбор,Bottled juice,瓶装果汁
113,Фреш морковный,Carrot fresh juice,鲜榨胡萝卜汁
114,Фреш апельсиновый,Orange fresh juice,鲜榨橙子汁
115,Фреш яблочный,Apple fresh juice,鲜榨苹果汁
116,Лимонады,Lemonades,柠檬水
117,Грушево - яблочный с мятой,Pear –apple with mint,梨和苹果味加薄荷
118,Мандарин-роза,Tangerine-rose,橘子和玫瑰味
119,Манго - маракуйя,Mango-passionfruit,芒果和百香果味
120,Фиалковый,Violet,堇菜味
121,Чай авторский и травяные сборы,Homemade herb tea,草本茶
122,Душа тайги ,Soul of Taiga,《泰加心》茶
123,Цветы Хакасии,Khakassia flower,《哈卡斯之花》茶
124,Пряная облепиха ,Spicy sea-​​buckthorn berry,《辛香沙棘果》茶
125,Сибирская ботаника,Botanica Siberica,《西伯利亚植物园》茶
126,Чай Брусничник,Lingonberry,越橘茶
127,Чай Лесной дар,Forest gift,《森林礼物》茶
128,Чай классический и китайский,Classic and chinese tea,茶
129,Ассам ,Assam black tea,阿萨姆红茶
130,Эрл Грей,Earl Grey black tea,伯爵茶
131,Зеленый классический,Green tea,绿茶
132,Жасмин,Jasmine green tea,茉莉花茶
133,Молочный улун,Milk oolong,奶香乌龙
134,Да Хуан Пао,Dàhóngpáo Chinese oolong tea,大红袍
135,Тегуань Инь,Tiě Guān Yīn oolong tea,铁观音
136,Шу Пуэр,Shú pǔ ěr,熟普洱
137,Кофе,Coffee,咖啡
138,Эспрессо,Espresso,浓咖啡 
139,Американо,Americano,美式咖啡
140,Капучино ,Cappuccino,卡布奇诺
141,Двойной Капучино ,Double Cappuccino,双份卡布奇诺
142,Капучино кокосовый ,Coconut Cappuccino,椰子味卡布奇诺
143,Латте,Latte,拿铁
144,Таежный раф,Taiga raf,泰加俄式咖啡
145,Какао,Hot chocolate,热巧克力
146,Какао ореховое,Nut Hot Cocoa,坚果味热巧克力
147,Какао с маршмеллоу,Hot Cocoa With Marshmallows,棉花糖热巧克力
148,"подаётся на замороженном камне с четверговой солью и молотым перцем, соусом понзу и авторским дипом","served on a frozen stone with black salt and ground pepper, ponzu sauce and special dip",放在冰冻的石头上，配黑盐、胡椒粉、柚子酱和蘸酱
149,подаются малосольными с нашим полбяным хлебом из печи и взбитым маслом,served lightly salted with stove-baked spelled bread and whipped butter,配烤斯佩耳特小麦饼和黄油
150,подаётся с гречишными оладьями и взбитым маслом,served with buckwheat fritters and whipped butter,配荞麦饼和黄油
151,"подаются на льду с домашним смородиновым уксусом, понзу и лимоном","served on ice with homemade currant
vinegar, ponzu sauce and lemon",放在冰上，配黑醋栗醋、柚子酱和柠檬。
152,наши специалитеты из камеры Dry Age,our specialties from the Dry-aging chamber,我们自己干熟的
153,"Если у вас есть аллергия на определённые продукты, пожалуйста, сообщите об этом своему официанту.","If you are allergic certain foods, please let your waiter know.",如果您对食物过敏，请告知服务员
154,наличие и сорт устриц уточняйте у официанта, Please check the availability and types of oysters with the waiter,请与服务员打听牡蛎的有现货情况和种类
155,Команда ресторана Tunguska во главе с бренд-шефом Николаем Бобровым представляет сет «Легенды города К.»,"The team of Tunguska restaurant, led by brand-chef Nikolai Bobrov, presents the set ""Legends of the town of K.""",尼科莱·鲍伯洛夫厨师领导的Tunguska餐厅团队代表《克市的传说》套餐。
156,"Он посвящен городским легендам и мистическим явлениям, знаковым местам и известным персонам, а также историческим событиям, связанным с великим городом на Енисее.","It is dedicated to urban legends, mystical phenomena, iconic places and famous people, as well as historical events related to the great city on the Yenisei river.",套餐题目是关于叶尼塞河上伟大城市的传说、神秘现象和名胜古迹的。
157,"Каждый курс, всего их восемь — это отдельная история, которая будет рассказана устным и гастрономическими языками, но не каждая из них случилась на самом деле.",Each of eight courses is a separate story that is told in both gastronomic and human languages. But not every story actually happened.,套餐共有八盘菜，每盘是单独的故事，每个故事被用口头和美味语言讲述。故事并不都是真实发生的。
158,"Многие истории за время своего существования обросли новыми подробностями и фактами, а некоторые исказились до неузнаваемости.","Many of these stories gathered new details and facts during their lives, and some have been distorted beyond recognition.",有许多故事在其存在期间已经长满了新的细节，有些已经被扭曲得面目全非。
159,"И гостям предстоит решить — какие из историй являются правдой, а какие вымыслом.",And the guests will have to decide which of the stories are true and which are fiction.,客人将会决定哪些故事是真实的，哪些是虚构的。
160,Существовала ли красноярская девочка-фантом?,Was there a Krasnoyarsk phantom girl?,克拉斯诺亚尔斯克幽灵女孩真实不真实？
161,Являются ли красноярцы потомками индейцев и что ел цесаревич Николай во время своего визита в Сибирь?,Are people of Krasnoyarsk descendants of Indians and what did tsarevich Nikolai eat during his visit to Siberia?,克拉斯诺亚尔斯克人真是印第安人的后裔吗? 尼古拉皇太子在访问西伯利亚期间吃了什么？
162,Что такое «Ватный завтрак» и какие излишества мог позволить себе городской магнат во времена сибирской золотой лихорадки?,"What is a ""cotton wool breakfast"" and what luxury could a tycoon afford during the Siberian gold rush?","""棉花早饭""是什么？ 在西伯利亚淘金热期间，大亨能负担得起什么奢华？"
163,Истина или ложь — решать вам.,True or false — it's up to you to decide.,真的还是假的？ 是由您决定。
164,"Этот сет — результат полугодовой работы не только команды ресторана, но и привлеченных специалистов.","This set is the result of six months of work not only of the restaurant team, but also of the specialists that were involved.",这一套餐是半年工作的结果，不仅由餐厅团队，而且由专家参与。
165,"Мы сотрудничали с мастерами по керамике и дереву, обращались к декораторам, а также консультировались с городскимиисториками и культурологами.","We collaborated with craftsmen specialised in ceramic and wood, contacted decorators, and consulted with urban historians and cultural scientists.",创作着该套餐， 我们与陶瓷和木材工匠、装饰师及城市历史学家和文化科学家进行合作。
166,"Помимо этого, в создании подарка для гостей поучаствовалошесть представителей современного искусства Красноярска.","In addition, six contemporary artist of Krasnoyarsk participated in the creation of a gift for our guests.",此外，六个克拉斯诺亚尔斯克当代艺术家参加了我们套餐准备以便给客人创作礼物。
167,Стоимость сета – 5000 рублей.,The cost of the set is 5000 rubles.,该套餐的价格为5000卢布。
168,Винный пэйринг от бренд-сомелье Екатерины Бобровой – 4000.,Wine pairing by brand-sommelier Ekaterina Bobrova – 4000.,叶卡捷琳娜·鲍伯洛娃侍酒师做的葡萄酒搭配价格为4000卢布。
169,Безалкогольный пэйринг от шеф-бармена Дмитрия Трушина - 3000.,Non-alcoholic pairing by chef-bartender Dmitry Trushin - 3000.,德米特里·特鲁申调酒师做的非酒精搭配价格为3000卢布。
170,Сет доступен к заказу у администратора за сутки с воскресенья по четверг.,"The set is available by pre-order at the manager 24 hours before the visit, from Sunday to Thursday.",从周日到周四，访问餐厅24小时之前问经理预订该套餐。
171,Забронироватьс ет: 269-93-88,Book a set: 269-93-88,预定一套餐: 269-93-88
172,"Печеные перцы с ореховым кранчем, домашней страчателлой и тонатто на тугуне ",Roasted peppers with crunchy walnut served with homemade stracciatella and tugun tonnato,
173,Нерка в лимонном кимчи с сезонной хурмой и листьями кинзы ,"Sockeye salmon served with lemon kimchi, seasonal persimmon and cilantro leaves",
174,Енисейская нельма с черной икрой из боровиков в соусе на хрене с икрой хариуса,Yenisei nelma with black mushroom spread caviar served with horseradish sauce and grayling caviar,
175,Ростбиф из говядины с печеными перцами и трюфельным тонатто на тугуне,Roast beef garnished with roasted peppers and truffle tugun tonatto ,
176,"Свекольные равиоли с копченым сыром, кедровым урбечем, малиновым соусом и икрой нерки ",Beetroot ravioli with smoked cheese and cedar nut butter served with raspberry sauce and sockeye caviar,
177,"Зеленый салат с арбузной редькой и брокколи, авокадо, цукини и разными листьями в медовом винегрете","Green salad with watermelon radish, broccoli, avocado, zucchini and leaves served with honey vinaigrette",
178,"Стейк-салат с мраморной говядиной Black Angus с молодым картофелем, битыми огурцами, печеными перцами и разными листьями в горчичном дипе ","Marbled Black Angus beef with baby potatoes, smashed cucumbers, roasted peppers and assorted leaves in a mustard dip",
179,"Хурма с авокадо и грецким орехом, черри, семечками подсолнуха и соусом из тофу с медом ","Persimmon with avocado, walnuts, cherry tomatoes and sunflower seeds served with honey-tofu sauce",
180,"Пельмени кундюмы с боровиками и картофелем, взбитой сметаной и демигласом на лесных грибах ",Kundyuma potato-mushroom dumplings served with whipped sour cream and demi-glace forest mushrooms,
181,Тувинские чебуреки хуужуры с оленем и бараньим салом в соусе на куруте,Tuvan reindeer meat and mutton fat khuushuur under kashk sauce,
182,Вырезка оленя гриль с трюфельным жу и кашей из цветной капусты с ряженкой ,Grilled reindeer tenderloin with truffle jus sauce garnished with cauliflower porridge with fermented baked milk ,
183,"Корейка косули малой прожарки с грибным демигласом, брокколи и картофельными пельменями ",Low-rare roe deer loin with mushroom demi-glace served with broccoli-potato dumplings,一成熟狍子腰肉配蘑菇多蜜酱、西兰花、土豆饺子
184,Пожарская котлета из перепелки с муссом строганов и ферментированной морковкой,Pozharsky quail cutlet with stroganoff mousse garnished with fermented carrots,
185,Язык таймырского оленя с кремом из копченой тыквы и соусом жу ,Taimyr reindeer tongue served with smoked pumpkin cream and jus sauce,
187,"Александр Кучеров, 0.75 please, Красноярск","Alexander Kucherov, 0.75 please, Krasnoyarsk",
188,Краб / мокрец / эстрагон,Crab / chickweed / tarragon,
189,Топинамбур / икра северных рыб / подсолнечник ,Jerusalem artichoke / northern fish caviar/ sunflower,
190,Икра енисейской стерляди/ лангустин / бархатцы,Yenisei sterlet caviar / langoustine / marigold flowers,
191,"Михаил Михайлов, Булгаков, Дзе, Красноярск","Mikhail Mikhailov, Bulgakov, Dze, Krasnoyarsk",
192,Олень / лисички / джем из нектаринов / пекорино романо ,Venison / chanterelles / nectarine jam / pecorino romano,
193,"Максим Любимов, LEO WINE&KITCHEN, Начало, Ростов-на-Дону","Maxim Lyubimov, LEO WINE&KITCHEN, Nachalo, Rostov-on-Don",
194,Капуста / мидии / крыжовник / сурепка,Cabbage / mussels / gooseberries / yellow rocket flowers,
195,"Дмитрий Гарифулин, TWENTY TWO, Горячий цех, Новосибирск","Dmitry Garifulin, TWENTY TWO, Goryachiy cekh, Novosibirsk",
196,Олень / брискет / кедровый орех / виноградный лист / консоме из сахарной косточки / подкопченная сметана / щучья икра,Venison / brisket / pine nuts / grape leaf / bone consommé / smoked sour cream / pike caviar,
197,"Антон Исаков, LA BIGA, Санкт-Петербург","Anton Isakov, LA BIGA, St. Petersburg",
198,Чир / копчёное молоко / корнеплоды ,Broad whitefish /smoked milk / root vegetables,
199,"Николай Бобров, Tunguska, Красноярск","Nikolay Bobrov, Tunguska, Krasnoyarsk",
200,Марал /  глазированная свекла /  айоли из черемши и черного чеснока / порто / костный мозг / икра стерляди ,Siberian stag / glazed beetroot / wild and black garlic aioli / port wine sauce / bone marrow / sterlet caviar,
201,"Роман Чемеренко, Bellini, Красноярск","Roman Chemerenko, Bellini, Krasnoyarsk",
202,Чизкейк камамбер / икра енисейской стерляди / мороженое из смородинового листа,Camembert cheesecake / Yenisei sterlet caviar / currant leaf ice cream,
218,Сет доступен к заказу у администратора за сутки с воскресенья по четверг.,"The set is available by pre-order at the manager 24 hours before the visit, from Sunday to Thursday.",从周日到周四，访问餐厅24小时之前问经理预订该套餐。
219,Забронировать сет: 269-93-88,Book a set: 269-93-88,预定一套餐: 269-93-88
220,"Сезонная редиска со взбитым творогом, черемшой, огурцом, вялеными домашними томатами и щавелем","Seasonal radish with whipped cottage cheese, wild garlic, cucumber, dried tomatoes and sorrel",萝卜配搅起泡沫的奶渣、熊葱、黄瓜、西红柿干和酸模
221,"Рожки с тартаром из говядины с вяленой клюквой, кедровым орехом и айоли с чёрным чесноком","Cones with beef steak tartare, sprinkled with dried cranberries, pine nuts and black garlic aioli",牛肉鞑靼排蛋捲配蔓越莓干、松子和黑蒜泥蛋黄酱
