,Russian,English
36,7. **Салат из облепихи с фермерским козьим сыром и грецким орехом**,Sea buckthorn salad with farm goat cheese and walnuts
37,8. **Пельмени с мясом марала и грибным соусом из лисичек**,Dumplings with maral meat and chanterelle mushroom sauce
38,9. **Мороженое из рябины с мёдом и кедровым орехом**,Rowanberry ice cream with honey and pine nuts
39,10. **Стейк из кабана с соусом из черники и тушеными корнеплодами**,Wild boar steak with blueberry sauce and braised root vegetables
40,1. Холодный суп из копчёного хариуса с маринованным огурцом и зеленью в бульоне из дикого чеснока,Cold smoked grayling soup with pickled cucumber and herbs in wild garlic broth
41,"2. Тартар из кижуча с копчёным молоком, канеле из картофеля и соусом из халапеньо","Silver salmon tartare with smoked milk, potato canele and jalapeno sauce"
42,3. Маринованная черемша с кедровым урбечем и капелькой тыквенного масла,Pickled wild garlic with cedar nut butter and a drizzle of pumpkin oil
43,4. Судак на гриле с печёным мангольдом и соусом из брусники с медом,Grilled pike-perch with baked chard and cranberry-honey sauce
44,5. Ягодный мусс с абанским медом и крошкой из полбяного хлеба,Berry mousse with Aban honey and spelled bread crumble
45,6. Копчёная нерка с ферментированным крыжовником и молодым картофелем в сливочном соусе,Smoked sockeye salmon with fermented gooseberries and baby potatoes in a creamy sauce
46,7. Крем-суп из белых грибов с капелькой трюфельного масла и хрустящими чипсами из корнеплодов,Porcini mushroom cream soup with a drizzle of truffle oil and crispy root vegetable chips
47,"8. Овощное рагу с кабачком, брокколи и морковью в соусе из кешью","Vegetable stew with zucchini, broccoli, and carrots in a cashew sauce"
48,"9. Канапе с копчёным хариусом, маринованным яблоком и пеной из хрена","Canapé with smoked grayling, pickled apple, and horseradish foam"
49,10. Десерт из ферментированной моркови с кремом из халвы и крошкой из грецкого ореха,Dessert of fermented carrots with halva cream and walnut crumble
50,1. **Карпаччо из оленя с трюфельным маслом и гранатом**,Venison carpaccio with truffle oil and pomegranate
51,2. **Суп из копчёного хариуса с печёным картофелем и зеленью**,Smoked grayling soup with baked potatoes and herbs
52,3. **Фаршированные брокколи с сырным муссом и кедровым орехом**,Stuffed broccoli with cheese mousse and pine nuts
53,4. **Жареный тугун с чесночным маслом и лимонным желе**,Fried tugun with garlic butter and lemon jelly
54,5. **Тартар из нерки с маринованной клюквой и кремом из авокадо**,Sockeye salmon tartare with pickled cranberries and avocado cream
55,6. **Рагу из оленины с грибами и глазированной морковью**,Venison stew with mushrooms and glazed carrots
56,"7. **Канапе с копчёным лососем, йогуртовым кремом и огурцом**",Smoked salmon canapés with yogurt cream and cucumber
57,8. **Пельмени с маралом и трюфельным соусом**,Venison dumplings with truffle sauce
58,9. **Запечённая форель с гречневыми оладьями и сливочным соусом**,Baked trout with buckwheat fritters and creamy sauce
59,"10. **Салат из кабачков, шпината, грецкого ореха и мёда**",Zucchini and spinach salad with walnuts and honey
60,11. **Жареные гребешки с пюре из тыквы и трюфельным жу**,Seared scallops with pumpkin purée and truffle jus
61,12. **Котлеты из хариуса с кремом из копчёного молока и зеленью**,Grayling patties with smoked milk cream and herbs
62,"13. **Фаршированные перцы с рисом, грибами и сыром пекорино**","Stuffed peppers with rice, mushrooms and pecorino cheese"
63,14. **Рулет из телятины с начинкой из черемши и моркови**,Veal roll stuffed with wild garlic and carrots
64,15. **Каша из полбы с грибами и глазированной свеклой**,Spelt porridge with mushrooms and glazed beets
65,16. **Тартар из тунца с маринованным луком и соусом из авокадо**,Tuna tartare with pickled onion and avocado sauce
66,17. **Жареный картофель с копчёным маслом и зеленью**,Fried potatoes with smoked butter and herbs
67,"18. **Сырная тарелка с мёдом, грецким орехом и ягодным джемом**","Cheese platter with honey, walnuts and berry jam"
68,19. **Запечённый батат с кремом из кешью и гранатовыми зёрнами**,Baked sweet potato with cashew cream and pomegranate seeds
69,20. **Фруктовый салат с йогуртовым кремом и мёдом**,Fruit salad with yogurt cream and honey
70,1. **Стейк Рибай Black Angus с жареной спаржей и картофельным гратеном**,Black Angus ribeye steak with grilled asparagus and potato gratin
71,2. **Тартар из нерки с копчёным сыром и авокадо на гречишных чипсах**,Sockeye salmon tartare with smoked cheese and avocado on buckwheat chips
72,3. **Копчёный хариус с картофельным пюре и демигласом из лесных грибов**,Smoked grayling with mashed potatoes and forest mushroom demi-glace
73,4. **Пельмени с косулей и брусничным соусом**,Roe deer dumplings with cranberry sauce
74,"5. **Говяжий стейк с трюфельным соусом, шампиньонами и запечённой морковью**","Beef steak with truffle sauce, champignon mushrooms, and roasted carrots"
75,6. **Жареный гребешок с тыквенным пюре и кедровым орехом**,Fried scallop with pumpkin purée and pine nuts
76,7. **Тувинские хуушуры с дикой стерлядью и икрой хариуса**,Tuvan khuushuur with wild sterlet and grayling caviar
77,8. **Фаршированная тыква с кедровым сыром и копчёным хариусом**,Stuffed pumpkin with cedar nut cheese and smoked grayling
78,9. **Крем-суп из облепихи с креветками и гречишным попкорном**,Sea buckthorn cream soup with shrimp and buckwheat popcorn
79,"10. **Салат с копчёной неркой, авокадо и маринованной черешней**","Salad with smoked sockeye salmon, avocado, and pickled cherries"
80,11. **Запечённая форель с брусничным соусом и картофельными крокетами**,Baked trout with cranberry sauce and potato croquettes
81,12. **Тушёная косуля с грибами и картофельными ньокки**,Braised roe deer with mushrooms and potato gnocchi
82,"13. **Брускетта с печёным баклажаном, копчёным хариусом и икрой кижуча**","Bruschetta with baked eggplant, smoked grayling, and silver salmon caviar"
83,14. **Жареный кабанчик с бараньим жу и брусничным желе**,Fried wild boar with lamb jus and cranberry jelly
84,15. **Овощной гратен с кедровым орехом и сырным кремом**,Vegetable gratin with pine nuts and cheese cream
85,16. **Ролл из лосося с авокадо и копчёным хариусом**,Salmon roll with avocado and smoked grayling
86,17. **Маринованная нерка с кремом из хрена и огурцом**,Marinated sockeye salmon with horseradish cream and cucumber
87,18. **Крем-суп из белых грибов с трюфельным маслом**,Porcini mushroom cream soup with truffle oil
88,19. **Запечённая тыква с кедровым сыром и облепиховым соусом**,Baked pumpkin with cedar nut cheese and sea buckthorn sauce
89,"20. **Сет из маринованной косули, нерки и тугуна с копчёным хариусом**","Set of marinated roe deer, sockeye salmon, and tugun with smoked grayling"
